"Source:","C:\BP5hw\pcb\7-REV1A-PC1b\7-REVA-PC1.kicad_sch"
"Date:","2025-03-25T17:34:11+0100"
"Tool:","Eeschema 8.0.7"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","235"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Datasheet","Description","Description_1","Field4","Field5","Field6","Footprint","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","RMB","STANDARD","Sim.Device","Sim.Pins","SnapEDA_Link","Supplier","USD"
"40","2","RN301, RN306","120R","dp-rarray:R_Array","Resistor_SMD:R_Array_Convex_4x0402","http://www.vishay.com/docs/31509/csc.pdf","","","","http://www.vishay.com/docs/31509/csc.pdf","4 resistor network, star topology, bussed resistors, split","","","","","Resistor_SMD:R_Array_Convex_4x0402","","","","","","","","0.033552","","","","","https://item.szlcsc.com/26241.html",""
"41","1","SW101","TS3425BA 098 2.5H 250gf","Switch:SW_SPST","Button_Switch_SMD:SW_SPST_PTS810","~","","","","~","Single Pole Single Throw (SPST) switch","","","","","Button_Switch_SMD:SW_SPST_PTS810","","","","","","","","","","","","","",""
"42","1","SW102","TS3315A 250gf 025","dp-switch:4P_button_sw","dp-switch:GT-TC026X-HXXX-LX","","","","","","","","","","","dp-switch:GT-TC026X-HXXX-LX","","","","","","","","","","","","","",""
"43","1","U1","RP2350B","ESPx:ESP32x-80","qfn80:qfn80","","","","","","","","","","","qfn80:qfn80","","","","","","","","","","","","","",""
"44","1","U2","74LVC8T245BQ","Logic_LevelTranslator:SN74AVC8T245PW","manuf:NXP-DHVQFN24","https://www.ti.com/lit/ds/symlink/sn74avc8t245.pdf","","","","https://www.ti.com/lit/ds/symlink/sn74avc8t245.pdf","8-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, TSSOP-24","","","","","manuf:NXP-DHVQFN24","","","","","","","","","","","","","",""
"45","1","U3","TLV74311PDBVR","Regulator_Linear:MCP1802x-xx02xOT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/22053C.pdf","","","","http://ww1.microchip.com/downloads/en/DeviceDoc/22053C.pdf","150mA, Tiny CMOS LDO With Shutdown, Fixed Voltage, SOT-23-5","","","","","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","","","","","","",""
"46","1","U4","XL9555QF24","TCA6416RTWT:XL9555QF24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","","","","","","","","","","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","","","","XL9555QF24","","","","","","","","","",""
"47","6","U5, U9, U10, U11, U12, U13","LM358_DFN","Amplifier_Operational:LM358_DFN","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm","www.st.com/resource/en/datasheet/lm358.pdf","","","","www.st.com/resource/en/datasheet/lm358.pdf","Low-Power, Dual Operational Amplifiers, DFN-8","","","","","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm","","","","","","","","","","","","","",""
"48","2","U6, U7","TCA6416ARTWR","TCA6416RTWT:TCA6416RTWT","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm","","","In Stock","https://www.snapeda.com/parts/TCA6416RTWT/Texas+Instruments/view-part/?ref=eda","","Low-voltage 16-bit I2C & SMBus I/O expander with interrupt output, reset & config registers 24-WQFN -40 to 85","","","","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm","","","Texas Instruments","TCA6416RTWT","","WQFN-24 Texas Instruments","None","","","","","https://www.snapeda.com/parts/TCA6416RTWT/Texas+Instruments/view-part/?ref=snap","",""
"49","1","U8","APS6404L-3SQR-ZR","dp-memory:xm25qh128a","library:USON-8-3x2mm_P0.5mm_EPthin","","","","","","","","","","","library:USON-8-3x2mm_P0.5mm_EPthin","","","","","","","","9.85","","","","","https://item.szlcsc.com/98729.html",""
"50","3","U14, U15, U16","SP3002-04JTG","IP4220CZ6F:IP4220CZ6F","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.littelfuse.com/assetdocs/tvs-diode-array-spa-sp3002-datasheet?assetguid=c8b2f2f8-79d8-4a9c-8435-7393b0361abe","","In Stock","https://www.snapeda.com/parts/IP4220CZ6F/Nexperia/view-part/?ref=eda","https://www.littelfuse.com/assetdocs/tvs-diode-array-spa-sp3002-datasheet?assetguid=c8b2f2f8-79d8-4a9c-8435-7393b0361abe","","                            - Clamp - Ipp Tvs Diode Surface Mount 6-TSOP","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","Littelfuse","1.1 mm","Nexperia USA Inc.","IP4220CZ6F","5","SOT-457 Nexperia USA","None","","IPC 7351B","","","https://www.snapeda.com/parts/IP4220CZ6F/Nexperia/view-part/?ref=snap","",""
"51","1","U102","W25Q128JVSIQ","dp-memory:xm25qh128a","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","","","","","","","","","","","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","","","","","","","","9.85","","","","","https://item.szlcsc.com/98729.html",""
"52","1","U105","MT29F1G01ABAFDWB","dp-memory:MT29F1G01ABAFDWB","dp-memory:U-PDFN-8","","","","","","SPI NAND Flash memory","","","","","dp-memory:U-PDFN-8","","","","","","","","","","","","","",""
"53","8","U301, U302, U303, U304, U305, U306, U307, U308","AiP74LVC1T45GC363.TR","Logic_LevelTranslator:SN74LVC1T45DCK","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf","","","","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf","Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363","","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","","","","","","","","1.33","","","","","https://item.szlcsc.com/9911.html",""
"54","1","U401","ME6211A33PG-N","Regulator_Linear:AP2204RA-3.3","Package_TO_SOT_SMD:SOT-89-3","https://www.diodes.com/assets/Datasheets/AP2204.pdf","","","","https://www.diodes.com/assets/Datasheets/AP2204.pdf","150mA low dropout linear regulator, wide input voltage range, 3.3V fixed positive output, SOT-89-3 package","","","","","Package_TO_SOT_SMD:SOT-89-3","","","","","","","","","","","","","",""
"55","1","U402","CD4067","74xx:CD74HC4067M","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","http://www.ti.com/lit/ds/symlink/cd74hc4067.pdf","","","","http://www.ti.com/lit/ds/symlink/cd74hc4067.pdf","High-Speed CMOS Logic 16-Channel Analog Multiplexer/Demultiplexer, SOIC-24","","","","","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","","","","","","","","","","","","","https://eu.mouser.com/ProductDetail/Nexperia/74HCT4067PW118","0.762"
"56","1","U403","AP2127K-ADJ","dp-vreg:MCP1824","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","","","","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","2.68","","","",""," https://item.szlcsc.com/157049.html",""
"57","1","U503","74HCT245BQ","74xx:74HC245","Package_DFN_QFN:DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm","http://www.ti.com/lit/gpn/sn74HC245","","","","http://www.ti.com/lit/gpn/sn74HC245","Octal BUS Transceivers, 3-State outputs","","","","","Package_DFN_QFN:DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm","","","","","","","","","","","","","",""
"58","1","U601","GS321A-TR","Comparator:LMV331","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lmv331.pdf","","","","http://www.ti.com/lit/ds/symlink/lmv331.pdf","Single General-Purpose Low-Voltage Comparator, SOT-23-5/SC-70-5","","","","","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","","","","","","",""
"59","1","U602","GSV331-TR","Comparator:LMV331","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lmv331.pdf","","","","http://www.ti.com/lit/ds/symlink/lmv331.pdf","Single General-Purpose Low-Voltage Comparator, SOT-23-5/SC-70-5","","","","","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","","","","","","",""
"60","1","Y101","ABM8-272-T3","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","","","","~","12MHz","","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","","","","","","","","0.8432","","","","","https://item.szlcsc.com/260706.html",""
