"Source:"	"C:\Users\vtroc\Desktop\BusPirate-temp\BusPirate-5-rev8_20230911c\BusPirate-5-rev8.sch"
"Date:"	"12 Sep 2023 5:06:30 pm"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"203"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"H3"	"MountingHole"	"Mechanical:MountingHole"	"MountingHole:MountingHole_3.2mm_M3"	"Mounting Hole without connection"	""
"H4"	"MountingHole"	"Mechanical:MountingHole"	"MountingHole:MountingHole_3.2mm_M3"	"Mounting Hole without connection"	""
"J101"	"Micro_SD_Card_TF-01A_C91145"	"dp-microsd:Micro_SD_Card_TF-01A_C91145"	"dp-microsd:TF-01A_C91145"	"TF-01A_C91145"	""
"J201"	"Conn_01x03"	"Connector_Generic:Conn_01x03"	"Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J202"	"TYPE-C-31-M-12"	"usb-c:TYPE-C-31-M-12"	"HRO_TYPE-C-31-M-12"	""	""
"J301"	"Conn_01x10"	"Connector_Generic:Conn_01x10"	"Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical"	"Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J302"	"Conn_01x09"	"Connector_Generic:Conn_01x09"	"Connector_JST:JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"L100"	"22uH"	"Device:L_Small"	"Inductor_SMD:L_0603_1608Metric"	"Inductor, small symbol"	""
"L201"	"1.5A"	"kicad5-device:Ferrite_Bead_Small"	"Inductor_SMD:L_0805_2012Metric"	"Ferrite bead, small symbol"	""
"LCD201"	"TFT_20_QT200H1201"	"dp-lcd:TFT_20_QT200H1201"	"dp-lcd:TFT_20_QT200H1201"	""	""
"LED701"	"SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	""	""
"LED702"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"LED703"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"LED704"	"SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	""	""
"LED705"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"LED706"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"LED707"	"SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	""	""
"LED708"	"SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	""	""
"LED710"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"LED712"	"SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	""	""
"LED713"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"LED714"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"LED715"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"LED716"	"SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	""	""
"LED717"	"SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	"dp-LED:SK6812-side-a_b"	""	""
"LED718"	"SK6812-mini-e"	"dp-LED:SK6812-mini-e"	"dp-LED:SK6812-mini-e"	""	""
"logo1"	"fcc_logo"	"DP_logo_kicad:fcc_logo"	"dp-logo:logo_fcc"	""	""
"Q202"	"2N7002"	"Transistor_FET:BSS138"	"Package_TO_SOT_SMD:SOT-23"	"50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23"	""
"Q401"	"BCM857"	"kicad5-device:Q_DUAL_PNP_PNP_E1B1C2E2B2C1"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Dual PNP transistor, 6 pin package"	""
"Q402"	"WST3423"	"Transistor_FET:AO3401A"	"Package_TO_SOT_SMD:SOT-23"	"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23"	""
"Q601"	"MMDT3906"	"kicad5-device:Q_DUAL_PNP_PNP_E1B1C2E2B2C1"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Dual PNP transistor, 6 pin package"	""
"Q602"	"WST3423"	"Transistor_FET:AO3401A"	"Package_TO_SOT_SMD:SOT-23"	"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23"	""
"R101"	"1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R102"	"DNF"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R103"	"200R"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R104"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R105"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R106"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R201"	"5.1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R202"	"22R"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R203"	"22R"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R204"	"5.1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R208"	"200R"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R209"	"33R"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R312"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R316"	"330R"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R401"	"100K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R402"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R403"	"102K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R404"	"133K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R405"	"33K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R406"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R407"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R408"	"33K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R409"	"33K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R410"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R412"	"100K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R414"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R415"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R416"	"330R"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R501"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R502"	"1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R601"	"0R2"	"Device:R"	"Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder"	"Resistor"	""
"R602"	"1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R603"	"1K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R604"	"33K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R605"	"33K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R606"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R608"	"200R"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R609"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R610"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R611"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R612"	"200R"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"R613"	"10K"	"Device:R_Small"	"Resistor_SMD:R_0402_1005Metric"	"Resistor, small symbol"	""
"RN301"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN302"	"1M"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN303"	"100K"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN304"	"1M"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN305"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN306"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN307"	"1M"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN308"	"100K"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN309"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN310"	"1M"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN311"	"10K"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN312"	"10K"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN313"	"10K"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN314"	"10K"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN315"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN317"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN318"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN400"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN401"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"RN402"	"330R"	"dp-rarray:R_Array"	"Resistor_SMD:R_Array_Convex_4x0402"	"4 resistor network, star topology, bussed resistors, split"	""
"SW101"	"SW_SPST"	"Switch:SW_SPST"	"Button_Switch_SMD:SW_SPST_PTS810"	"Single Pole Single Throw (SPST) switch"	""
"SW102"	"4P_button_sw"	"dp-switch:4P_button_sw"	"dp-switch:GT-TC026X-HXXX-LX"	""	""
"U102"	"W25Q128JVSIQ"	"dp-memory:xm25qh128a"	"Package_SO:SOP-8_5.28x5.23mm_P1.27mm"	""	""
"U103"	"RP2040"	"RP_Silicon:RP2040"	"RP_Silicon:RP2040-QFN-56"	""	""
"U301"	"SN74LVC1T45DCK"	"Logic_LevelTranslator:SN74LVC1T45DCK"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363"	""
"U302"	"SN74LVC1T45DCK"	"Logic_LevelTranslator:SN74LVC1T45DCK"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363"	""
"U303"	"SN74LVC1T45DCK"	"Logic_LevelTranslator:SN74LVC1T45DCK"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363"	""
"U304"	"SN74LVC1T45DCK"	"Logic_LevelTranslator:SN74LVC1T45DCK"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363"	""
"U305"	"SN74LVC1T45DCK"	"Logic_LevelTranslator:SN74LVC1T45DCK"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363"	""
"U306"	"SN74LVC1T45DCK"	"Logic_LevelTranslator:SN74LVC1T45DCK"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363"	""
"U307"	"SN74LVC1T45DCK"	"Logic_LevelTranslator:SN74LVC1T45DCK"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363"	""
"U308"	"SN74LVC1T45DCK"	"Logic_LevelTranslator:SN74LVC1T45DCK"	"Package_TO_SOT_SMD:SOT-363_SC-70-6"	"Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363"	""
"U309"	"74HC4066"	"4xxx_IEEE:4066"	"Package_SO:TSSOP-14_4.4x5mm_P0.65mm"	""	""
"U310"	"74HC4066"	"4xxx_IEEE:4066"	"Package_SO:TSSOP-14_4.4x5mm_P0.65mm"	""	""
"U401"	"ME6211A33PG-N"	"Regulator_Linear:AP2204RA-3.3"	"Package_TO_SOT_SMD:SOT-89-3"	"150mA low dropout linear regulator, wide input voltage range, 3.3V fixed positive output, SOT-89-3 package"	""
"U402"	"74HC4067"	"74xx:CD74HC4067M"	"Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm"	"High-Speed CMOS Logic 16-Channel Analog Multiplexer/Demultiplexer, SOIC-24"	""
