"Source:","C:\BP5hw\bus_pirate_pcb\development\7-REV2-vout-protection\7-REV2-vout-protection.kicad_sch"
"Date:","2025-07-04T16:16:52+0200"
"Tool:","Eeschema 9.0.1"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","264"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Datasheet","Description","Description_1","Field4","Field5","Field6","Footprint","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","RMB","STANDARD","Sim.Device","Sim.Pins","SnapEDA_Link","Supplier","USD","szlcsc_partnumber","szlcsc_url"
"46","3","R405, R604, R605","33K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.004864","","","","","https://item.szlcsc.com/61542.html","","C25779","https://item.szlcsc.com/26522.html?fromZone=s_s__%252233K%25200402%2522&spm=sc.gb.xh2.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"47","1","R601","0R2","Device:R","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","","","~","Resistor","","","","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","","","","","","","","0.418328","","","","","https://item.szlcsc.com/464030.html","","",""
"48","1","R608","200R","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","","","","C25087","https://item.szlcsc.com/25830.html?fromZone=s_s__%2522200R%25200402%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"49","8","RN1, RN2, RN8, RN12, RN303, RN308, RN317, RN318","100K","dp-rarray:R_Array","Resistor_SMD:R_Array_Convex_4x0402","http://www.vishay.com/docs/31509/csc.pdf","","","","http://www.vishay.com/docs/31509/csc.pdf","4 resistor network, star topology, bussed resistors, split","","","","","Resistor_SMD:R_Array_Convex_4x0402","","","","","","","","0.033552","","","","","https://item.szlcsc.com/26241.html","","C25724","https://item.szlcsc.com/26467.html?fromZone=s_s__%2522100K%25200402x4%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"50","2","RN3, RN9","10K","dp-rarray:R_Array","Resistor_SMD:R_Array_Convex_4x0402","http://www.vishay.com/docs/31509/csc.pdf","","","","http://www.vishay.com/docs/31509/csc.pdf","4 resistor network, star topology, bussed resistors, split","","","","","Resistor_SMD:R_Array_Convex_4x0402","","","","","","","","0.034572","","","","","https://item.szlcsc.com/45893.html","","C25725","https://item.szlcsc.com/26468.html?fromZone=s_s__%252210K%25200402x4%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"51","4","RN4, RN7, RN302, RN307","4.7K","dp-rarray:R_Array","Resistor_SMD:R_Array_Convex_4x0402","http://www.vishay.com/docs/31509/csc.pdf","","","","http://www.vishay.com/docs/31509/csc.pdf","4 resistor network, star topology, bussed resistors, split","","","","","Resistor_SMD:R_Array_Convex_4x0402","","","","","","","","0.034572","","","","","https://item.szlcsc.com/45893.html","","C29586","https://item.szlcsc.com/30340.html?fromZone=s_s__%25224.7K%25200402x4%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"52","2","RN5, RN6","2.2K","dp-rarray:R_Array","Resistor_SMD:R_Array_Convex_4x0402","http://www.vishay.com/docs/31509/csc.pdf","","","","http://www.vishay.com/docs/31509/csc.pdf","4 resistor network, star topology, bussed resistors, split","","","","","Resistor_SMD:R_Array_Convex_4x0402","","","","","","","","0.034572","","","","","https://item.szlcsc.com/45893.html","","C26075","https://item.szlcsc.com/26818.html"
"53","2","RN10, RN11","1M","dp-rarray:R_Array","Resistor_SMD:R_Array_Convex_4x0402","http://www.vishay.com/docs/31509/csc.pdf","","","","http://www.vishay.com/docs/31509/csc.pdf","4 resistor network, star topology, bussed resistors, split","","","","","Resistor_SMD:R_Array_Convex_4x0402","","","","","","","","0.033552","","","","","https://item.szlcsc.com/26241.html","","C425315","https://item.szlcsc.com/418939.html?fromZone=s_s__%25221M%25200402x4%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"54","2","RN301, RN306","120R","dp-rarray:R_Array","Resistor_SMD:R_Array_Convex_4x0402","http://www.vishay.com/docs/31509/csc.pdf","","","","http://www.vishay.com/docs/31509/csc.pdf","4 resistor network, star topology, bussed resistors, split","","","","","Resistor_SMD:R_Array_Convex_4x0402","","","","","","","","0.033552","","","","","https://item.szlcsc.com/26241.html","","C270390","https://item.szlcsc.com/259920.html?fromZone=s_s__%2522120R%25200402x4%2522&spm=sc.gb.xh2.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"55","1","SW101","TS3425BA 098 2.5H 250gf","Switch:SW_SPST","Button_Switch_SMD:SW_SPST_PTS810","~","","","","~","Single Pole Single Throw (SPST) switch","","","","","Button_Switch_SMD:SW_SPST_PTS810","","","","","","","","","","","","","","","",""
"56","1","SW102","TS3315A 250gf 025","dp-switch:4P_button_sw","dp-switch:GT-TC026X-HXXX-LX","","","","","","","","","","","dp-switch:GT-TC026X-HXXX-LX","","","","","","","","","","","","","","","",""
"57","1","U1","RP2350B","ESPx:ESP32x-80","qfn80:qfn80","","","","","","","","","","","qfn80:qfn80","","","","","","","","","","","","","","","",""
"58","1","U2","AiP74LVC8T245QE24.TR","Logic_LevelTranslator:SN74AVC8T245PW","manuf:NXP-DHVQFN24","https://www.ti.com/lit/ds/symlink/sn74avc8t245.pdf","","","","https://www.ti.com/lit/ds/symlink/sn74avc8t245.pdf","8-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, TSSOP-24","","","","","manuf:NXP-DHVQFN24","","","","","","","","","","","","","","","C5361831","https://item.szlcsc.com/6184611.html?fromZone=s_s__%252274LVC8T245%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"59","1","U4","XL9555QF24","TCA6416RTWT:XL9555QF24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","","","","","","","","","","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","","","","XL9555QF24","","","","","","","","","","","",""
"60","6","U5, U9, U10, U11, U12, U13","GS358-FR","Amplifier_Operational:LM358_DFN","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm","www.st.com/resource/en/datasheet/lm358.pdf","","","","www.st.com/resource/en/datasheet/lm358.pdf","Low-Power, Dual Operational Amplifiers, DFN-8","","","","","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm","","","","","","","","","","","","","","","C431311","https://item.szlcsc.com/427634.html?fromZone=s_s__%2522GS358%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"61","2","U6, U7","TCA6416ARTWR","TCA6416RTWT:TCA6416RTWT","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm","","","In Stock","https://www.snapeda.com/parts/TCA6416RTWT/Texas+Instruments/view-part/?ref=eda","","Low-voltage 16-bit I2C & SMBus I/O expander with interrupt output, reset & config registers 24-WQFN -40 to 85","","","","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm","","","Texas Instruments","TCA6416RTWT","","WQFN-24 Texas Instruments","None","","","","","https://www.snapeda.com/parts/TCA6416RTWT/Texas+Instruments/view-part/?ref=snap","","","",""
"62","1","U8","APS6404L-3SQR-ZR","dp-memory:xm25qh128a","library:USON-8-3x2mm_P0.5mm_EPthin","","","","","","","","","","","library:USON-8-3x2mm_P0.5mm_EPthin","","","","","","","","9.85","","","","","https://item.szlcsc.com/98729.html","","",""
"63","3","U14, U15, U16","SP3002-04JTG","IP4220CZ6F:IP4220CZ6F","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.littelfuse.com/assetdocs/tvs-diode-array-spa-sp3002-datasheet?assetguid=c8b2f2f8-79d8-4a9c-8435-7393b0361abe","","In Stock","https://www.snapeda.com/parts/IP4220CZ6F/Nexperia/view-part/?ref=eda","https://www.littelfuse.com/assetdocs/tvs-diode-array-spa-sp3002-datasheet?assetguid=c8b2f2f8-79d8-4a9c-8435-7393b0361abe","","                            - Clamp - Ipp Tvs Diode Surface Mount 6-TSOP","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","Littelfuse","1.1 mm","Nexperia USA Inc.","IP4220CZ6F","5","SOT-457 Nexperia USA","None","","IPC 7351B","","","https://www.snapeda.com/parts/IP4220CZ6F/Nexperia/view-part/?ref=snap","","","C84558","https://item.szlcsc.com/85728.html?fromZone=s_s__%2522SP3002-04JTG%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRVhfXlFQRFVfUzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"64","1","U17","TLV75801PDRV","Regulator_Linear:TLV75801PDRV","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tlv758p.pdf","","","","https://www.ti.com/lit/ds/symlink/tlv758p.pdf","500mA Low-Dropout Linear Regulator, Adjustable Output, WSON-6","","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","","","","","","","","","","","","","","","C2876308","https://item.szlcsc.com/3084920.html?fromZone=s_s__%2522TLV75801PDRV%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRVhfXlFQRFVfUzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"65","1","U18","74LVC2G14","74xGxx:74LVC2G14","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.ti.com/lit/ds/symlink/sn74lvc2g14.pdf","","","","https://www.ti.com/lit/ds/symlink/sn74lvc2g14.pdf","Dual NOT Gate, Schmitt Triggered, Low-Voltage CMOS","","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","","","","","","","","","","","","","","","",""
"66","1","U102","W25Q128JVSIQ","dp-memory:xm25qh128a","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","","","","","","","","","","","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","","","","","","","","9.85","","","","","https://item.szlcsc.com/98729.html","","C97521","https://item.szlcsc.com/98729.html?fromZone=s_s__%2522W25Q128JVSIQ%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"67","1","U105","MT29F2G01ABAGDWB-IT:G","dp-memory:MT29F1G01ABAFDWB","dp-memory:U-PDFN-8","","","","","","SPI NAND Flash memory","","","","","dp-memory:U-PDFN-8","","","","","","","","","","","","","","","C410863","https://item.szlcsc.com/402017.html?fromZone=s_s__%2522MT29F2G01ABAGDWB-IT%253AG%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"68","1","U117","LM393BIDSGR","Comparator:LM393","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","","","","http://www.ti.com/lit/ds/symlink/lm393.pdf","Low-Power, Low-Offset Voltage, Dual Comparators, WSON-8 2x2mm","","","","","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","","","","","","","","","","","","","","","",""
"69","8","U301, U302, U303, U304, U305, U306, U307, U308","AiP74LVC1T45GC363.TR","Logic_LevelTranslator:SN74LVC1T45DCK","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf","","","","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf","Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, SOT-363","","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","","","","","","","","1.33","","","","","https://item.szlcsc.com/9911.html","","C5162250","https://item.szlcsc.com/5810901.html?fromZone=s_s__%2522AiP74LVC1T45GC363.TR%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"70","1","U401","ME6211A33PG-N","Regulator_Linear:AP2204RA-3.3","Package_TO_SOT_SMD:SOT-89-3","https://www.diodes.com/assets/Datasheets/AP2204.pdf","","","","https://www.diodes.com/assets/Datasheets/AP2204.pdf","150mA low dropout linear regulator, wide input voltage range, 3.3V fixed positive output, SOT-89-3 package","","","","","Package_TO_SOT_SMD:SOT-89-3","","","","","","","","","","","","","","","C236673","https://item.szlcsc.com/236113.html?fromZone=s_s__%2522ME6211A33PG-N%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"71","1","U402","CD4067","74xx:CD74HC4067M","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","http://www.ti.com/lit/ds/symlink/cd74hc4067.pdf","","","","http://www.ti.com/lit/ds/symlink/cd74hc4067.pdf","High-Speed CMOS Logic 16-Channel Analog Multiplexer/Demultiplexer, SOIC-24","","","","","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","","","","","","","","","","","","","https://eu.mouser.com/ProductDetail/Nexperia/74HCT4067PW118","0.762","",""
"72","1","U403","AP2127K-ADJ","dp-vreg:MCP1824","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","","","","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","2.68","","","",""," https://item.szlcsc.com/157049.html","","C96343","https://item.szlcsc.com/97547.html?fromZone=s_s__%2522AP2127K-ADJ%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"73","1","U503","74HCT245BQ","74xx:74HC245","Package_DFN_QFN:DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm","http://www.ti.com/lit/gpn/sn74HC245","","","","http://www.ti.com/lit/gpn/sn74HC245","","","","","","Package_DFN_QFN:DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm","","","","","","","","","","","","","","","",""
"74","1","U601","GS321A-TR","Comparator:LMV331","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lmv331.pdf","","","","http://www.ti.com/lit/ds/symlink/lmv331.pdf","Single General-Purpose Low-Voltage Comparator, SOT-23-5/SC-70-5","","","","","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","","","","","","","","C431318","https://item.szlcsc.com/427641.html?fromZone=s_s__%2522GS321A-TR%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"75","1","U602","GSV331-TR","Comparator:LMV331","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lmv331.pdf","","","","http://www.ti.com/lit/ds/symlink/lmv331.pdf","Single General-Purpose Low-Voltage Comparator, SOT-23-5/SC-70-5","","","","","Package_TO_SOT_SMD:SOT-23-5","","","","","","","","","","","","","","","C2927687","https://item.szlcsc.com/3256341.html?fromZone=s_s__%2522GSV331-TR%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"76","1","Y101","ABM8-272-T3","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","","","","~","12MHz","","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","","","","","","","","0.8432","","","","","https://item.szlcsc.com/260706.html","","C20625731","https://item.szlcsc.com/22032038.html?fromZone=s_s__%2522ABM8-272-T3%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
